embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
all-MiniLM-L6-v2,8,Misinformation & Propaganda,318,,16.489742,7.414124,0.28059861063957214,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589, 1.0)","T8
0.28",True
all-MiniLM-L6-v2,8,Misinformation & Propaganda,361,,16.31548,7.7602296,0.28059861063957214,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589, 1.0)","T8
0.28",True
all-MiniLM-L6-v2,10,"images, image",15,,16.867886,10.871031,0.23560497164726257,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451, 1.0)","T10
0.24",True
all-MiniLM-L6-v2,10,"images, image",18,,16.826952,11.060723,0.23560497164726257,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451, 1.0)","T10
0.24",True
all-MiniLM-L6-v2,10,"images, image",36,,16.678722,11.014597,0.23560497164726257,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451, 1.0)","T10
0.24",True
all-MiniLM-L6-v2,10,"images, image",151,,16.50979,11.054016,0.23560497164726257,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451, 1.0)","T10
0.24",True
all-MiniLM-L6-v2,10,"images, image",175,,16.939837,11.195304,0.23560497164726257,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451, 1.0)","T10
0.24",True
all-MiniLM-L6-v2,10,"images, image",235,,16.842005,11.205743,0.23560497164726257,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451, 1.0)","T10
0.24",True
all-MiniLM-L6-v2,10,"images, image",362,,16.918964,11.078023,0.23560497164726257,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451, 1.0)","T10
0.24",True
all-MiniLM-L6-v2,10,"images, image",404,,17.022509,11.122728,0.23560497164726257,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451, 1.0)","T10
0.24",True
all-MiniLM-L6-v2,10,"images, image",405,,16.925144,11.183895,0.23560497164726257,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451, 1.0)","T10
0.24",True
all-MiniLM-L6-v2,10,"images, image",435,,17.04154,11.165368,0.23560497164726257,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451, 1.0)","T10
0.24",True
all-MiniLM-L6-v2,10,"images, image",460,,16.88112,11.293582,0.23560497164726257,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451, 1.0)","T10
0.24",True
all-MiniLM-L6-v2,10,"images, image",474,,16.978956,11.265299,0.23560497164726257,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451, 1.0)","T10
0.24",True
all-MiniLM-L6-v2,11,Rumor on Social Media,116,,14.574491,5.4394383,0.31579095125198364,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902, 1.0)","T11
0.32",True
all-MiniLM-L6-v2,11,Rumor on Social Media,237,,14.771669,6.1381907,0.31579095125198364,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902, 1.0)","T11
0.32",True
all-MiniLM-L6-v2,11,Rumor on Social Media,254,,14.6937685,6.0701075,0.31579095125198364,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902, 1.0)","T11
0.32",True
all-MiniLM-L6-v2,11,Rumor on Social Media,273,,14.788819,5.788114,0.31579095125198364,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902, 1.0)","T11
0.32",True
all-MiniLM-L6-v2,11,Rumor on Social Media,304,,14.732878,5.7045608,0.31579095125198364,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902, 1.0)","T11
0.32",True
all-MiniLM-L6-v2,11,Rumor on Social Media,338,,14.520718,5.6553993,0.31579095125198364,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902, 1.0)","T11
0.32",True
all-MiniLM-L6-v2,11,Rumor on Social Media,353,,14.813638,5.962835,0.31579095125198364,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902, 1.0)","T11
0.32",True
all-MiniLM-L6-v2,11,Rumor on Social Media,410,,14.553983,5.68856,0.31579095125198364,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902, 1.0)","T11
0.32",True
all-MiniLM-L6-v2,11,Rumor on Social Media,419,,14.560887,5.4942446,0.31579095125198364,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902, 1.0)","T11
0.32",True
all-MiniLM-L6-v2,11,Rumor on Social Media,420,,14.726813,5.893977,0.31579095125198364,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902, 1.0)","T11
0.32",True
